bucket_name,batch_size,compression_lib,create_torch_batch_from_data(s),torch_batch_size(mb),serialize_data_as_bytes(s),data_as_bytes_size(mb),create_torch_batch_from_data_bytes(s),convert_torch_batch_to_bytes(s),torch_batch_as_bytes_size(mb),convert_bytes_into_torch_batch(s)
imagenet1k-sdl,128,None,0.41011719703674315,73.5,0.12334761619567872,96.83399486541748,0.5128001213073731,0.05846281051635742,73.5064058303833,0.00722036361694336
imagenet1k-sdl,128,zlib,0.3983858585357666,73.5,0.10988392829895019,96.83399486541748,0.5200479984283447,2.464537191390991,18.91186237335205,0.15867166519165038
imagenet1k-sdl,128,zstandard,0.45143814086914064,73.5,0.12572121620178223,96.83399486541748,0.557068157196045,0.4036593437194824,21.437737464904785,0.10471220016479492
imagenet1k-sdl,128,snappy,0.43586087226867676,73.5,0.11950764656066895,96.83399486541748,0.5566121578216553,0.19941263198852538,34.39448261260986,0.09715456962585449
imagenet1k-sdl,128,lz4,0.4681219577789307,73.5,0.11854023933410644,96.83399486541748,0.5694624423980713,0.2209259033203125,35.51037311553955,0.05380926132202148
imagenet1k-sdl,256,None,0.7581558704376221,147.0,0.19300484657287598,161.78736305236816,0.9759612083435059,0.12088212966918946,147.01171588897705,0.020537662506103515
imagenet1k-sdl,256,zlib,0.8014066219329834,147.0,0.20243363380432128,161.78736305236816,0.9762725353240966,4.871006679534912,37.601802825927734,0.31336221694946287
imagenet1k-sdl,256,zstandard,0.7834907054901123,147.0,0.19522294998168946,161.78736305236816,0.9772338390350341,0.7784918308258056,42.33611297607422,0.2126224994659424
imagenet1k-sdl,256,snappy,0.7930045127868652,147.0,0.20573201179504394,161.78736305236816,0.9536256313323974,0.4375318050384521,69.43727397918701,0.2208383560180664
imagenet1k-sdl,256,lz4,0.8099349498748779,147.0,0.19863762855529785,161.78736305236816,1.0198036670684814,0.42378983497619627,72.03636455535889,0.11122570037841797
imagenet1k-sdl,8,None,0.021491384506225585,4.59375,0.0030191898345947265,2.45068359375,0.021831655502319337,0.005039405822753906,4.595273017883301,0.0008095264434814453
imagenet1k-sdl,8,zlib,0.019198799133300783,4.59375,0.0026312351226806642,2.45068359375,0.023251056671142578,0.1675938606262207,1.2611312866210938,0.012280416488647462
imagenet1k-sdl,8,zstandard,0.024660539627075196,4.59375,0.003734874725341797,2.45068359375,0.021997976303100585,0.030327272415161134,1.3805532455444336,0.0071430206298828125
imagenet1k-sdl,8,snappy,0.021344661712646484,4.59375,0.003223562240600586,2.45068359375,0.023605775833129884,0.01563882827758789,2.2315664291381836,0.007935905456542968
imagenet1k-sdl,8,lz4,0.01911439895629883,4.59375,0.0029944419860839845,2.45068359375,0.021454429626464842,0.020145606994628907,2.3182430267333984,0.0042896270751953125
imagenet1k-sdl,16,None,0.04258847236633301,9.1875,0.01055450439453125,8.645204544067383,0.056815147399902344,0.00904998779296875,9.18932819366455,0.0015343189239501952
imagenet1k-sdl,16,zlib,0.04786038398742676,9.1875,0.012967729568481445,8.645204544067383,0.055193758010864256,0.32014856338500974,2.437074661254883,0.020647287368774414
imagenet1k-sdl,16,zstandard,0.04592399597167969,9.1875,0.011421966552734374,8.645204544067383,0.05842103958129883,0.05083408355712891,2.7203826904296875,0.012169742584228515
imagenet1k-sdl,16,snappy,0.047127389907836915,9.1875,0.011361408233642577,8.645204544067383,0.05902814865112305,0.029205179214477538,4.412539482116699,0.01253523826599121
imagenet1k-sdl,16,lz4,0.04402308464050293,9.1875,0.010926914215087891,8.645204544067383,0.06032938957214355,0.03474769592285156,4.524514198303223,0.006941890716552735
imagenet1k-sdl,32,None,0.10396366119384766,18.375,0.031055355072021486,25.937625885009766,0.1289902687072754,0.017494392395019532,18.3774995803833,0.002322816848754883
imagenet1k-sdl,32,zlib,0.10537853240966796,18.375,0.03489742279052734,25.937625885009766,0.13226242065429689,0.5955379486083985,4.6049089431762695,0.04106206893920898
imagenet1k-sdl,32,zstandard,0.10826997756958008,18.375,0.03458399772644043,25.937625885009766,0.13249011039733888,0.10075035095214843,5.410605430603027,0.025814056396484375
imagenet1k-sdl,32,snappy,0.10583844184875488,18.375,0.03738975524902344,25.937625885009766,0.1359318733215332,0.05365147590637207,8.764723777770996,0.02356610298156738
imagenet1k-sdl,32,lz4,0.10542330741882325,18.375,0.031078863143920898,25.937625885009766,0.1368985652923584,0.061194992065429686,9.040308952331543,0.015049982070922851
imagenet1k-sdl,64,None,0.19857425689697267,36.75,0.05327773094177246,46.09685516357422,0.2605294704437256,0.032542848587036134,36.75378131866455,0.0036714553833007814
imagenet1k-sdl,64,zlib,0.2067800998687744,36.75,0.05950703620910645,46.09685516357422,0.2567570686340332,1.2471187591552735,9.5963134765625,0.08382115364074708
imagenet1k-sdl,64,zstandard,0.21858739852905273,36.75,0.05578598976135254,46.09685516357422,0.2581637859344482,0.1937610149383545,10.643402099609375,0.052547454833984375
imagenet1k-sdl,64,snappy,0.21862225532531737,36.75,0.05711731910705566,46.09685516357422,0.2695486068725586,0.10004191398620606,17.39228916168213,0.0521754264831543
imagenet1k-sdl,64,lz4,0.20865817070007325,36.75,0.05495772361755371,46.09685516357422,0.27031655311584474,0.11092152595520019,17.999958038330078,0.027382469177246092
